20MICRONS,20200813,34,34.3,32.25,32.8,157695
21STCENMGM,20200813,10.45,10.65,10.45,10.55,2373
3IINFOTECH,20200813,2.75,2.75,2.7,2.75,5351486
3MINDIA,20200813,21699.95,22000,21521,21888.55,4930
5PAISA,20200813,360,360,347.05,350.4,11955
63MOONS,20200813,82,82.5,78.05,79.45,23171
A2ZINFRA,20200813,4.2,4.2,4.05,4.1,356459
AARTIDRUGS,20200813,2075,2249.85,2073.2,2132.3,244820
AARTIIND,20200813,997,1023.45,982.3,1000,690950
AARTISURF,20200813,345.15,345.15,345.15,345.15,261235
AARVEEDEN,20200813,9.5,10.2,9.5,10.2,7468
AARVI,20200813,31,31,29.3,30.75,3402
AAVAS,20200813,1440,1463.95,1381.8,1411.25,20216
ABAN,20200813,28,28.7,28,28.7,114934
ABB,20200813,909.5,939.25,908.55,932.4,220454
ABBOTINDIA,20200813,16800,16872.5,16600,16672.85,9794
ABCAPITAL,20200813,59.95,61.7,59.6,60.7,2976363
ABFRL,20200813,120.4,132.8,119.6,129.85,7822576
ABMINTLTD,20200813,17.6,17.6,17.6,17.6,1408
ABSLBANETF,20200813,225.42,225.42,217.51,223.55,174
ABSLNN50ET,20200813,292.7,305.01,275.9,281.41,1540
ACC,20200813,1417.85,1427.95,1391.75,1394.55,895953
ACCELYA,20200813,1013,1034.8,1012.05,1019.2,8290
ACE,20200813,61.15,62.5,60,61.5,367570
ADANIENT,20200813,198.9,203.3,197.75,200.75,3552469
ADANIGAS,20200813,160.7,162.45,158.4,159.55,972123
ADANIGREEN,20200813,363.75,369.25,361,362.15,295625
ADANIPORTS,20200813,343.55,348.95,341.75,347.65,2707033
ADANIPOWER,20200813,37.35,37.95,37.15,37.65,2346928
ADANITRANS,20200813,248.6,250.45,240,240.95,230861
ADFFOODS,20200813,388,404.75,385.65,403.45,112111
ADHUNIKIND,20200813,19.65,19.75,19,19.55,13602
ADORWELD,20200813,258.55,272.8,257.5,262.5,24326
ADSL,20200813,22.4,22.65,21.35,22.65,210025
ADVANIHOTR,20200813,43.05,47.45,42.6,46.15,30257
ADVENZYMES,20200813,209,214.6,202.9,208,791770
AEGISCHEM,20200813,203.1,204.25,196.5,197.8,235846
AFFLE,20200813,2124,2198.9,2124,2148.4,94589
AGARIND,20200813,112,119.2,110.8,119.2,127428
AGCNET,20200813,335.8,335.8,311.05,324,7883
AGRITECH,20200813,33.35,33.35,32.1,32.35,2031
AGROPHOS,20200813,11.85,12.3,11.3,11.3,50506
AHLEAST,20200813,143.9,150,139.05,146.95,1952
AHLUCONT,20200813,232.8,237.5,224.15,235.2,13500
AHLWEST,20200813,260.95,280,260.95,267,1495
AIAENG,20200813,1641.1,1683.95,1640.95,1673.55,29425
AIONJSW,20200813,16.1,16.7,14.55,14.9,330542
AIRAN,20200813,12.4,12.4,11.7,12.05,16528
AJANTPHARM,20200813,1639.3,1663.2,1600,1616.65,114336
AJMERA,20200813,92.8,93,85.65,86.8,344108
AKASH,20200813,181,185,176.25,181.35,61780
AKSHARCHEM,20200813,241,244,238,239,37897
AKSHOPTFBR,20200813,5.25,5.35,5.1,5.3,113993
AKZOINDIA,20200813,2049.95,2049.95,1995,2005.95,14587
ALANKIT,20200813,19.1,19.1,17.8,18.05,129851
ALBERTDAVD,20200813,494.05,513.7,488.55,492.1,53227
ALCHEM,20200813,5.05,5.05,4.75,4.8,63142
ALEMBICLTD,20200813,84.1,87.7,84.1,86.95,1175325
ALICON,20200813,306.6,307,292.25,305.45,4735
ALKALI,20200813,46.1,53.7,45.7,52.1,233590
ALKEM,20200813,2812.15,2930,2802.85,2909.7,372603
ALKYLAMINE,20200813,2700.05,2850,2700.05,2824.75,95092
ALLCARGO,20200813,101.7,104.9,100.5,101,146946
ALLSEC,20200813,273,300,261.35,292.2,26974
ALMONDZ,20200813,9.7,9.95,9.05,9.7,18058
ALOKINDS,20200813,39.9,39.9,36.55,37.25,41317291
ALPA,20200813,26.2,26.35,25.5,25.7,74237
ALPHAGEO,20200813,171,175.45,167.55,171.6,23312
ALPSINDUS,20200813,1.1,1.15,1.1,1.15,17386
AMARAJABAT,20200813,743.45,757.5,738.85,744,727322
AMBER,20200813,1655,1695,1655,1684.8,45003
AMBIKCO,20200813,671.3,675,665.15,673.7,4746
AMBUJACEM,20200813,222.3,224.85,219.8,222,2238707
AMDIND,20200813,16.25,19.3,16,18.7,761688
AMJLAND,20200813,19.2,19.5,18.6,19.25,13678
AMRUTANJAN,20200813,491,525,482.1,492.25,1184855
ANANTRAJ,20200813,27.9,28.4,26.5,26.5,161008
ANDHRACEMT,20200813,5.55,5.65,5.3,5.4,229219
ANDHRAPAP,20200813,218.8,221.7,216.6,218.1,73634
ANDHRSUGAR,20200813,344.95,347.5,315.6,317.55,247538
ANIKINDS,20200813,14,14,13.05,13.2,8534
ANKITMETAL,20200813,0.65,0.75,0.65,0.75,26063
ANSALAPI,20200813,4.5,4.5,4.2,4.3,32770
ANSALHSG,20200813,4.4,4.5,4.2,4.35,27055
ANUP,20200813,550,580,550,552.45,23688
APARINDS,20200813,300.65,312.4,300.5,310.35,61737
APCL,20200813,159.95,160,153.5,155.75,39639
APCOTEXIND,20200813,121,144.7,120.15,141,1069646
APEX,20200813,249.8,274.9,245.3,268.65,1771339
APLAPOLLO,20200813,2080,2129.55,2070.05,2112.8,73770
APLLTD,20200813,1084.95,1107,1071.6,1077.95,414168
APOLLO,20200813,128.7,134.2,128.1,132.55,965380
APOLLOHOSP,20200813,1725,1777.9,1711.5,1725.1,1005175
APOLLOPIPE,20200813,397,468.65,397,415.75,168990
APOLLOTYRE,20200813,130,133.7,128.75,131.85,10303156
APOLSINHOT,20200813,497.05,522,497.05,504.55,2089
APTECHT,20200813,117.7,118.2,114.25,114.75,343360
ARCHIDPLY,20200813,27.65,28.2,26.75,27.2,32965
ARCHIES,20200813,11.75,12.2,11.55,12.2,44960
ARCOTECH,20200813,2.55,2.65,2.55,2.65,38347
ARENTERP,20200813,10.8,11.45,10.8,10.9,681
ARIES,20200813,68.8,68.8,65.15,66.95,30379
ARIHANT,20200813,15.15,16.5,15.15,15.7,6582
ARIHANTSUP,20200813,21.7,21.7,20.55,21.55,3410
ARMANFIN,20200813,443.65,449.8,436.2,438.05,11295
AROGRANITE,20200813,29.95,33.65,27.9,30.65,128526
ARROWGREEN,20200813,41.15,42.85,41.15,42,1725
ARSHIYA,20200813,9.95,10,9.55,10,143458
ARSSINFRA,20200813,13.2,13.25,12.75,13.1,12783
ARTEMISMED,20200813,177.95,178,168.2,170.9,1725
ARVIND,20200813,35.6,35.9,34.5,34.7,7165038
ARVINDFASN,20200813,137.4,139.15,132.55,139.15,911379
ARVSMART,20200813,103.1,104.85,95.8,97.7,944267
ASAHIINDIA,20200813,200,200,192.55,197.2,18537
ASAHISONG,20200813,216.3,216.9,211,212.35,16562
ASAL,20200813,19.5,20.1,19.25,19.5,13810
ASALCBR,20200813,265.5,267.95,263,266,62829
ASHAPURMIN,20200813,48.7,48.7,45.5,45.75,51773
ASHIANA,20200813,78,81.7,78,81.7,314292
ASHIMASYN,20200813,5.65,5.75,5.4,5.6,68090
ASHOKA,20200813,61.45,66.4,61.35,64.55,8741022
ASHOKLEY,20200813,53,62,52.3,61.1,245009983
ASIANHOTNR,20200813,58.9,63,57.4,61.9,45333
ASIANPAINT,20200813,1806.4,1815,1788,1802.55,1192385
ASIANTILES,20200813,225,228.3,223,224.05,67283
ASPINWALL,20200813,148.95,148.95,141,141,6871
ASTEC,20200813,1008,1022,992.3,998.25,101111
ASTERDM,20200813,128.5,135,128.5,134.65,592996
ASTRAL,20200813,1079,1080,1065.55,1070.35,73569
ASTRAMICRO,20200813,121.35,130.3,120.7,127.8,4265752
ASTRAZEN,20200813,3355,3374.8,3322,3350.75,21664
ASTRON,20200813,44.15,44.7,43.15,43.9,92558
ATFL,20200813,675.2,709,673.4,690.25,26928
ATLANTA,20200813,9.5,9.5,8.85,9.05,9048
ATLASCYCLE,20200813,44.35,45.6,43,44.5,14094
ATUL,20200813,5246,5341,5211,5266.8,11903
ATULAUTO,20200813,180.9,185,176.35,178.75,213769
AUBANK,20200813,729.9,732.9,711,716.65,225259
AURIONPRO,20200813,68.2,68.3,63,63,28126
AUROPHARMA,20200813,927,927,875,881.3,11655107
AUSOMENT,20200813,31.1,31.45,28.3,30.3,7918
AUTOAXLES,20200813,565,658.85,545,641.35,155154
AUTOIND,20200813,45.7,45.7,41.4,41.4,61975
AUTOLITIND,20200813,23.5,23.5,21.5,21.75,18237
AVADHSUGAR,20200813,191,193.45,187,188.95,42576
AVANTIFEED,20200813,472,510,472,501.8,2733111
AVTNPL,20200813,45.8,45.9,45,45.1,157377
AXISBANK,20200813,454.1,456.75,445.35,448.1,21885898
AXISCADES,20200813,65.15,65.15,62,63.1,130714
AXISGOLD,20200813,47.95,47.95,45.5,45.6,259846
AXISNIFTY,20200813,116.32,117.29,116,116.23,12515
AYMSYNTEX,20200813,24.2,26.1,22.5,25.35,46086
BAGFILMS,20200813,2.85,2.85,2.7,2.8,228423
BAJAJ-AUTO,20200813,3040,3040,3000,3017.95,462333
BAJAJCON,20200813,189,192,182,183.45,1103631
BAJAJELEC,20200813,444,450.1,434,436.95,216997
BAJAJFINSV,20200813,6400,6432,6324.1,6350,390585
BAJAJHIND,20200813,6.05,6.05,5.85,5.95,2237287
BAJAJHLDNG,20200813,2699.35,2733.6,2670.55,2686.85,16766
BAJFINANCE,20200813,3450,3472,3401,3419.65,4663383
BALAJITELE,20200813,92.85,94,91.2,92,381523
BALAMINES,20200813,670,698,663.55,672.45,541328
BALAXI,20200813,382.55,382.55,370.3,382.55,16408
BALKRISHNA,20200813,13.55,14.35,13.55,13.85,3352
BALKRISIND,20200813,1388.95,1405,1363.55,1385.7,711345
BALLARPUR,20200813,2.3,2.3,2.3,2.3,797396
BALMLAWRIE,20200813,114.15,116.65,114.15,115.35,146066
BALPHARMA,20200813,48.5,50.95,48.5,49.6,79133
BALRAMCHIN,20200813,143,145.1,140.25,140.7,1401763
BANARBEADS,20200813,43.3,44.9,43.2,44,8760
BANARISUG,20200813,1328.95,1328.95,1300.1,1300.15,718
BANCOINDIA,20200813,89.9,92.9,88.05,88.85,729488
BANDHANBNK,20200813,298.3,300.6,289,290.9,14223109
BANG,20200813,16.05,18,16,17.3,10882
BANKBARODA,20200813,48.8,49,47.8,48.1,21612267
BANKBEES,20200813,225.48,226.56,222.63,223.16,442704
BANKINDIA,20200813,49.3,49.55,47.85,48.4,1820359
BANSWRAS,20200813,62.9,66.95,61.65,64.2,93153
BASF,20200813,1324,1326.85,1286.6,1295.05,47145
BASML,20200813,92.95,94.9,87.1,90.3,6368
BATAINDIA,20200813,1245,1249,1213.8,1237.1,919494
BAYERCROP,20200813,5850,6200,5840,6057.3,60523
BBL,20200813,802,824.9,743.9,760.65,44609
BBTC,20200813,1446.7,1518.8,1445.95,1468.6,348100
BCG,20200813,8,8.15,7.65,7.95,2650039
BCP,20200813,5.55,5.55,5.55,5.55,81678
BDL,20200813,426.5,464.8,426.5,459.65,4234324
BEARDSELL,20200813,8.15,8.15,7.55,7.55,8331
BEDMUTHA,20200813,14.2,14.2,13.6,13.75,7039
BEL,20200813,111,115.4,109.65,114.45,29955940
BEML,20200813,683,726,675.2,714.35,1723830
BEPL,20200813,45.5,46.65,45.5,45.7,261145
BERGEPAINT,20200813,555,559.3,548.05,550.85,1376148
BFINVEST,20200813,311.9,321.55,308,313.25,55753
BFUTILITIE,20200813,247.8,254.45,246.4,251.95,359052
BGRENERGY,20200813,40,40.2,39.1,39.8,68358
BHAGERIA,20200813,146.8,146.8,138,138.55,91213
BHAGYANGR,20200813,17.5,17.5,16.8,17,10534
BHAGYAPROP,20200813,22.95,22.95,21.6,22.2,8796
BHANDARI,20200813,1.35,1.35,1.25,1.25,214600
BHARATFORG,20200813,439.1,507,437,502.9,27030796
BHARATGEAR,20200813,60.2,62.3,56.2,58.5,50041
BHARATRAS,20200813,11000,11000,10555,10613.6,6894
BHARATWIRE,20200813,25.3,25.45,24.15,24.45,109040
BHARTIARTL,20200813,534,548.3,524.25,535.35,36774554
BHEL,20200813,36.5,39.55,36.2,38.95,128234342
BIGBLOC,20200813,39.5,39.5,39,39.1,30139
BIL,20200813,139.85,148.75,139.2,144.55,4509
BILENERGY,20200813,1,1,0.95,0.95,1008628
BINDALAGRO,20200813,10.4,10.45,10.1,10.2,16839
BIOCON,20200813,399,401.1,391.7,393.25,4016926
BIOFILCHEM,20200813,28.4,28.4,28.4,28.4,28820
BIRLACABLE,20200813,55,56.6,53,53.5,137155
BIRLACORPN,20200813,605.9,617.5,602.1,608.35,251252
BIRLAMONEY,20200813,36.85,37.5,36.25,36.35,235016
BIRLATYRE,20200813,27,27,24.5,24.5,1112894
BKMINDST,20200813,1.1,1.15,1.05,1.05,72869
BLBLIMITED,20200813,4.3,4.5,4.1,4.15,12243
BLISSGVS,20200813,130,136.35,129.85,131.3,1076141
BLKASHYAP,20200813,6.75,6.75,6.2,6.25,92415
BLS,20200813,105.4,109,104.9,109,341566
BLUECOAST,20200813,4.3,4.3,4.3,4.3,760
BLUEDART,20200813,1978.2,1979.2,1939,1943.35,35778
BLUESTARCO,20200813,527,534.8,513.15,517.9,114596
BODALCHEM,20200813,75.1,79.9,75.1,77.1,2046602
BOMDYEING,20200813,67,68.3,66.8,67.1,1308018
BOROLTD,20200813,156.5,160,151.05,154.7,32003
BORORENEW,20200813,79,80.75,76.5,79.35,226889
BOSCHLTD,20200813,14300,14725.85,14078.35,14397.05,107444
BPCL,20200813,420,426.2,416.5,421.15,5840867
BPL,20200813,20,20.5,19.55,19.9,19707
BRFL,20200813,8.85,9,8.75,8.9,46713
BRIGADE,20200813,146.75,149.95,145.75,148.3,195087
BRITANNIA,20200813,3823.8,3857.85,3792.05,3808.25,513264
BRNL,20200813,36.1,40.4,34,36.25,496726
BROOKS,20200813,37.7,37.8,36.5,37.8,47350
BSE,20200813,504,505.7,493,495,195706
BSELINFRA,20200813,1.3,1.35,1.25,1.25,121939
BSL,20200813,25.95,26.5,24.7,25.1,16095
BSLGOLDETF,20200813,4780,4865,4780,4837.1,559
BSLNIFTY,20200813,122,123.99,121.51,123.47,70
BSOFT,20200813,147.85,148.6,145.55,146.4,1131727
BURNPUR,20200813,1.4,1.4,1.4,1.4,46664
BUTTERFLY,20200813,129.25,132,126.05,128.55,57024
BVCL,20200813,13.6,13.6,13.6,13.6,188
BYKE,20200813,14.4,16.4,14,15.85,607223
CADILAHC,20200813,393.5,394.55,385.25,386.4,5405124
CALSOFT,20200813,8.3,9.2,8.3,8.65,21124
CAMLINFINE,20200813,97,97.2,90,91.95,1586209
CANBK,20200813,102.7,103.25,101.6,102.15,3380711
CANFINHOME,20200813,371,374,365,366.6,234728
CANTABIL,20200813,305,320,302.4,316.8,316425
CAPACITE,20200813,108.1,116.8,106.95,114.7,312822
CAPLIPOINT,20200813,510.2,561.1,510.1,556.15,1646813
CAPTRUST,20200813,70,72.4,67.1,69.95,4417
